id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
670213,Variable,com.android.systemui.biometrics.AuthContainerView.getLayoutParams.lp,packages/SystemUI/src/com/android/systemui/biometrics/AuthContainerView.java,0,-1,1,{'method_var_modify': '-'},[]
670959,Variable,com.android.systemui.biometrics.UdfpsController.onTouch.idx,packages/SystemUI/src/com/android/systemui/biometrics/UdfpsController.java,0,-1,1,{'method_var_modify': '-'},[]
676610,Variable,com.android.systemui.globalactions.GlobalActionsDialogLite.createActionItems.i,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,0,-1,1,{'method_var_modify': '-'},[]
676611,Variable,com.android.systemui.globalactions.GlobalActionsDialogLite.createActionItems.actionKey,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,0,-1,1,{'method_var_modify': '-'},[]
677275,Variable,com.android.systemui.globalactions.GlobalActionsImpl.showShutdownUi.rebootReasonMessage,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsImpl.java,0,-1,1,{'method_var_modify': '-'},[{'type': 'parent_ref'}]
679974,Variable,com.android.systemui.media.NotificationPlayer.CreationAndCompletionThread.run.ie,packages/SystemUI/src/com/android/systemui/media/NotificationPlayer.java,0,-1,1,{'method_var_modify': '-'},[]
680972,Variable,com.android.systemui.navigationbar.buttons.KeyButtonView.sendEvent.ev,packages/SystemUI/src/com/android/systemui/navigationbar/buttons/KeyButtonView.java,0,-1,1,{'method_var_modify': '-'},[]
682092,Variable,com.android.systemui.navigationbar.NavigationBar.onHomeLongClick.args,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBar.java,0,-1,1,{'method_var_modify': '-'},[]
682404,Variable,com.android.systemui.navigationbar.NavigationBarInflaterView.getDefaultLayout.defaultResource,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarInflaterView.java,0,-1,1,{'method_var_modify': '-'},[]
686256,Variable,com.android.systemui.qs.customize.TileQueryHelper.addCurrentAndStockTiles.possibleTiles,packages/SystemUI/src/com/android/systemui/qs/customize/TileQueryHelper.java,0,-1,1,{'method_var_modify': '-'},[]
690187,Variable,com.android.systemui.qs.TileLayout.updateResources.res,packages/SystemUI/src/com/android/systemui/qs/TileLayout.java,0,-1,1,{'method_var_modify': '-'},[]
697057,Variable,com.android.systemui.statusbar.CommandQueue.H.handleMessage.i,packages/SystemUI/src/com/android/systemui/statusbar/CommandQueue.java,0,-1,1,{'method_var_modify': '-'},[]
697058,Variable,com.android.systemui.statusbar.CommandQueue.H.handleMessage.i,packages/SystemUI/src/com/android/systemui/statusbar/CommandQueue.java,0,-1,1,{'method_var_modify': '-'},[]
707856,Variable,com.android.systemui.statusbar.notification.stack.NotificationStackScrollLayout.updateSidePadding.qsTileWidth,packages/SystemUI/src/com/android/systemui/statusbar/notification/stack/NotificationStackScrollLayout.java,0,-1,1,{'method_var_modify': '-'},[]
717311,Variable,com.android.systemui.statusbar.phone.NotificationShadeWindowViewController.setupExpandedStatusBar.tunable,packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationShadeWindowViewController.java,0,-1,1,{'method_var_modify': '-'},[]
